"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5591","ENSRNOG00000011323","Lgi3",6.912511411,2.090247144,0.634954896,3.291961613,0.000994912,0.002178471
"5671","ENSRNOG00000011475","Srcin1",4.817182468,4.676750175,1.010400318,4.628611149,3.68e-06,1.03e-05
"5673","ENSRNOG00000011478","Ackr4",269.6244353,2.001632623,0.09878152,20.26322956,2.72e-91,6.17e-90
"5684","ENSRNOG00000011500","Pou2af1",2.454928549,3.531414594,1.441631581,2.44959575,0.014301668,0.02647095
"5697","ENSRNOG00000011521","Filip1",449.1717559,3.250403755,0.092951377,34.9688608,6.69e-268,6.59e-266
"5715","ENSRNOG00000011557","S100a8",8.638700967,6.412584524,1.129502339,5.677353915,1.37e-08,4.58e-08
"5765","ENSRNOG00000011648","Aqp1",31232.72447,3.708057505,0.028851982,128.5200276,0,0
"5766","ENSRNOG00000011649","Epb42",9.353740399,3.421886166,0.71982171,4.753796835,2e-06,5.69e-06
"5773","ENSRNOG00000011659","Alpk3",26.11304619,4.841126771,0.450918923,10.73613575,6.89e-27,4.9e-26
"5790","ENSRNOG00000011696","Lifr",361.8897554,3.240268912,0.185262503,17.49014971,1.7e-68,2.83e-67
"5801","ENSRNOG00000011718","C1rl",109.7647203,2.302585139,0.184876436,12.45472482,1.32e-35,1.18e-34
"5814","ENSRNOG00000011750","Fam180a",65.91768425,7.535367913,0.569829021,13.22391038,6.39e-40,6.32e-39
"5837","ENSRNOG00000011800","F3",1381.362721,2.91583808,0.059235585,49.22443331,0,0
"5839","ENSRNOG00000011808","Ghrhr",12.81227239,3.536170436,0.51698194,6.840027021,7.92e-12,3.19e-11
"5842","ENSRNOG00000011815","Sgk1",3014.014209,3.453922755,0.052296688,66.04477023,0,0
"5888","ENSRNOG00000011907","Krt23",66.17536973,8.019616544,0.666885146,12.02548384,2.61e-33,2.22e-32
"5893","ENSRNOG00000011913","Cp",375.249862,3.523764375,0.105668346,33.34739785,7.95e-244,7.02e-242
