"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1986","ENSRNOG00000004019","Phlda1",4735.865287,-2.708713427,0.053349646,-50.77284713,0,0
"1992","ENSRNOG00000004033","Sema6a",337.7759578,-2.400469653,0.187233857,-12.82070291,1.26e-37,1.02e-36
"2005","ENSRNOG00000004067","Nrcam",69.42048058,-2.113427003,0.255483145,-8.272275656,1.31e-16,6.02e-16
"2011","ENSRNOG00000004078","Eno3",1914.699356,-2.619071472,0.068384188,-38.29937231,0,0
"2013","ENSRNOG00000004084","Lratd1",7.225741933,-6.135684825,1.259083427,-4.873136039,1.1e-06,3.07e-06
"2031","ENSRNOG00000004118","Frmpd4",118.3566797,-2.942965489,0.214290296,-13.73354529,6.39e-43,5.76e-42
"2040","ENSRNOG00000004133","Slc7a3",36.30984634,-2.945709332,0.496381679,-5.934363531,2.95e-09,9.72e-09
"2057","ENSRNOG00000004158","Hdac9",343.890116,-2.339122838,0.174511606,-13.40382395,5.74e-41,5.01e-40
"2078","ENSRNOG00000004195","Dtl",488.2842168,-3.126970509,0.142116472,-22.00287182,2.7e-107,5.69e-106
"2092","ENSRNOG00000004216","Lrr1",37.86381887,-2.910880457,0.332994166,-8.741535897,2.3e-18,1.12e-17
"2097","ENSRNOG00000004221","Lgr5",36.44298677,-2.440974066,0.429767933,-5.679749182,1.35e-08,4.27e-08
"2105","ENSRNOG00000004242","Pole2",198.8990931,-2.93561685,0.149122369,-19.685959,2.85e-86,4.78e-85
"2122","ENSRNOG00000004278","Dlx3",617.43452,-2.040149254,0.078937177,-25.84522687,2.75e-147,8.34e-146
"2162","ENSRNOG00000004342","Ahr",1908.776836,-3.314924602,0.091334648,-36.2942724,1.99e-288,1.57e-286
"2196","ENSRNOG00000004412","Mtbp",380.2281299,-2.107556284,0.100216154,-21.03010547,3.48e-98,6.6e-97
"2210","ENSRNOG00000004440","Fignl1",156.331002,-2.631965075,0.159626186,-16.48830398,4.45e-61,5.37e-60
"2220","ENSRNOG00000004458","Ston2",120.5641455,-3.092697711,0.27723696,-11.15543075,6.74e-29,4.44e-28
"2230","ENSRNOG00000004479","Aurka",670.5355305,-2.618918018,0.105293227,-24.8726162,1.47e-136,4.11e-135
"2235","ENSRNOG00000004487","Nek2",417.5498326,-2.693343483,0.103901515,-25.92208107,3.75e-148,1.15e-146
"2265","ENSRNOG00000004537","Rxrg",7.945333736,-2.614610475,0.718972292,-3.636594209,0.000276267,0.000636908
"2328","ENSRNOG00000004666","Prr5l",27.34722729,-2.94473122,0.408437166,-7.209753341,5.61e-13,2.22e-12
"2339","ENSRNOG00000004682","Parpbp",137.5505048,-2.490051731,0.175727772,-14.16993853,1.41e-45,1.32e-44
