"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2083","ENSRNOG00000004200","Sybu",60.85805997,3.322597424,0.22165767,14.98976968,8.56e-51,8.84e-50
"2089","ENSRNOG00000004210","Osr1",2442.757761,2.150193909,0.048915992,43.95686999,0,0
"2120","ENSRNOG00000004275","Egfl6",5.445604812,3.524563979,0.843094851,4.180507064,2.91e-05,7.31e-05
"2135","ENSRNOG00000004296","Nt5c1b",41.9522652,5.475496959,0.400772884,13.66234386,1.7e-42,1.52e-41
"2136","ENSRNOG00000004298","Dpys",7.355902373,6.001329217,1.182347059,5.075776333,3.86e-07,1.11e-06
"2154","ENSRNOG00000004327","Ddc",8.676265604,2.075212116,0.613513415,3.382504872,0.00071828,0.001583543
"2155","ENSRNOG00000004328","Deptor",211.3363159,3.379022965,0.202117622,16.71810175,9.68e-63,1.19e-61
"2186","ENSRNOG00000004399","Dlx4",6.435455094,2.160544261,0.663253239,3.257495228,0.001124001,0.002426969
"2187","ENSRNOG00000004400","Avpr1a",1857.869291,2.742562211,0.04806392,57.06072649,0,0
"2215","ENSRNOG00000004448","Acss3",142.7633928,6.808259423,0.309989098,21.96289955,6.52e-107,1.37e-105
"2252","ENSRNOG00000004516","Itgbl1",1990.232171,4.328397906,0.065444586,66.13836447,0,0
"2260","ENSRNOG00000004527","Lin7a",64.69687745,3.023795983,0.417424721,7.243931263,4.36e-13,1.74e-12
"2267","ENSRNOG00000004540","Clec3b",44.47823761,7.036435868,0.609949393,11.53609782,8.68e-31,6e-30
"2290","ENSRNOG00000004589","Galnt16",2223.118443,2.223710779,0.054486943,40.81181046,0,0
"2300","ENSRNOG00000004610","Lum",7.4094046,7.642832245,1.27542049,5.992401959,2.07e-09,6.87e-09
"2341","ENSRNOG00000004686","Spop",3473.927251,2.141079989,0.048059582,44.55053309,0,0
"2349","ENSRNOG00000004698","unkown",3.632539085,3.603032766,1.077009888,3.34540361,0.000821629,0.001800963
"2350","ENSRNOG00000004699","Fibin",345.1990248,4.356929194,0.123940456,35.15340611,1.03e-270,7.26e-269
"2362","ENSRNOG00000004720","unkown",2.67051019,2.173968086,0.895356502,2.428047467,0.015180356,0.028135225
"2377","ENSRNOG00000004744","Lratd2",10.16207213,2.988840375,0.573744821,5.209354869,1.89e-07,5.59e-07
"2381","ENSRNOG00000004752","Nalcn",137.7217943,2.957905177,0.157773555,18.74778808,2.02e-78,3.07e-77
"2437","ENSRNOG00000004861","Itga4",1979.301441,2.182606472,0.196815639,11.08959879,1.41e-28,9.22e-28
"2481","ENSRNOG00000004956","Jade2",318.1890725,2.083597457,0.144067399,14.46265756,2.09e-47,2.03e-46
"2501","ENSRNOG00000005008","Angpt4",85.56259955,3.037763019,0.189740863,16.01006222,1.09e-57,1.26e-56
