"","V1","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"16773","ENSRNOG00000022764","unkown",178.7721769,-4.192004189,0.386038354,-10.8590355,1.81e-27,1.77e-26
"16851","ENSRNOG00000030091","Trim42",1530.790459,-2.390740847,0.08039659,-29.73684376,2.57e-194,1.91e-192
"17029","ENSRNOG00000009370","Mir6321",6.124583616,-3.456515747,1.018424847,-3.393982146,0.000688842,0.001802629
"17057","ENSRNOG00000004805","unkown",475.5213393,-2.78395844,0.116071646,-23.98482776,4e-127,1.79e-125
"17093","ENSRNOG00000010635","St6galnac5",4178.441225,-2.935783988,0.045651862,-64.30808923,0,0
"17096","ENSRNOG00000010665","Sh3gl1",4.994665583,-3.466970192,1.186715429,-2.921484046,0.003483681,0.008081697
"17234","ENSRNOG00000049929","Cox19",90.69601471,-2.652296454,0.232452054,-11.41007964,3.72e-30,3.91e-29
"17302","ENSRNOG00000008078","unkown",49.80669523,-2.032521303,0.357443609,-5.686271217,1.3e-08,5.49e-08
"17373","ENSRNOG00000002607","Vav1",951.9312379,-4.716054748,0.150582226,-31.31880079,2.59e-215,2.15e-213
"17375","ENSRNOG00000002793","Bod1l1",4.547871772,-4.300135152,1.353784093,-3.176381799,0.001491245,0.003693332
"17383","ENSRNOG00000053474","unkown",2.527974194,-4.74044458,1.471243074,-3.222067558,0.001272691,0.003190224
"17575","ENSRNOG00000036677","Ifrd1",995.1604932,-2.783217999,0.098634368,-28.21752759,3.56e-175,2.33e-173
"17603","ENSRNOG00000005985","unkown",8.367495278,-5.36999509,1.292091504,-4.156048604,3.24e-05,1e-04
"17634","ENSRNOG00000008949","unkown",391.9419456,-2.708508926,0.154110107,-17.5751544,3.82e-69,8.66e-68
"17852","ENSRNOG00000047091","unkown",1.111991744,-4.258957035,1.849454269,-2.302818245,0.021289072,0.042140792
"17876","ENSRNOG00000025589","Zfp54",2.297503286,-4.401530284,1.511874794,-2.911306082,0.003599212,0.008327437
"17916","ENSRNOG00000049976","unkown",12.76405856,-4.410571866,0.90180578,-4.890822354,1e-06,3.62e-06
"17919","ENSRNOG00000046301","unkown",3.409442512,-4.148439769,1.423160643,-2.91494835,0.003557474,0.0082361
"17920","ENSRNOG00000045973","LOC120102075",12.29975181,-4.507506095,0.908224216,-4.962988229,6.94e-07,2.54e-06
"17921","ENSRNOG00000045641","unkown",2.214373144,-4.426913339,1.446986136,-3.059402733,0.002217788,0.005333175
"17953","ENSRNOG00000061921","Nudc",1.850058247,-3.456573307,1.523138499,-2.269375575,0.023245496,0.045616781
"17954","ENSRNOG00000011471","unkown",18.77013098,-2.421150555,0.570654766,-4.242758845,2.21e-05,6.94e-05
"17963","ENSRNOG00000012521","unkown",237.9965416,-3.840204059,0.224450731,-17.10934085,1.26e-65,2.74e-64
"17976","ENSRNOG00000042281","unkown",2.870434957,-4.76092115,1.384337138,-3.439134166,0.000583578,0.001541787
"18035","ENSRNOG00000011316","unkown",505.0628693,-3.162013635,0.123136138,-25.67900613,2.01e-145,1.03e-143
"18038","ENSRNOG00000011634","AABR07034059.1",60.83882733,-2.834400424,0.293730598,-9.649660085,4.93e-22,4.09e-21
"18068","ENSRNOG00000016758","AABR07024473.1",13441.77652,-2.206509531,0.114277685,-19.30831492,4.57e-83,1.27e-81
"18072","ENSRNOG00000038483","unkown",212.9296182,-2.130177831,0.147592998,-14.43278385,3.22e-47,5.12e-46
"18075","ENSRNOG00000017828","Smad4",272.4923615,-3.746143144,0.189339841,-19.78528726,3.99e-87,1.16e-85
