ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000007964,Tp53inp1,341.4869162,2.042373277,0.176126503,11.59605872,4.31E-31,3.01E-30
ENSRNOG00000007989,Chst1,54.53321832,2.942154777,0.263164976,11.1798873,5.12E-29,3.39E-28
ENSRNOG00000007999,Abra,4.763644513,2.587139957,0.874227508,2.95934403,0.003082947,0.006314103
ENSRNOG00000008057,Krt7,300.7908003,5.52657747,0.15130871,36.52517735,4.42E-292,3.57E-290
ENSRNOG00000008086,Dpf3,3.488661446,2.040182902,0.921666588,2.213580192,0.026857671,0.047811882
ENSRNOG00000008116,Plpp3,237.2528588,3.295941859,0.140053729,23.5334102,1.86E-122,4.44E-121
ENSRNOG00000008157,Syn2,1.901551948,4.784514251,1.78731679,2.676925702,0.007430111,0.014455831
ENSRNOG00000008373,Colec11,8.13567723,8.260891787,1.278651066,6.460630272,1.04E-10,3.72E-10
ENSRNOG00000008543,Pdlim2,1667.398563,2.051312063,0.082293683,24.92672576,3.82E-137,1.07E-135
ENSRNOG00000008591,Colec10,1.953331261,4.904060185,1.483926216,3.304787078,0.000950486,0.002067716
ENSRNOG00000008697,Ccn3,4085.93693,5.494683868,0.058420278,94.05439492,0,0
ENSRNOG00000008736,Slamf8,5.038917759,2.024311712,0.752639565,2.689616392,0.00715342,0.013958257
ENSRNOG00000008829,Sorbs3,1122.042593,2.317046439,0.065063492,35.61208214,9.11E-278,6.72E-276
ENSRNOG00000008837,Ass1,13.4304739,2.163191073,0.3955997,5.468131222,4.55E-08,1.40E-07
ENSRNOG00000008855,Gjb2,61.77541276,6.63367321,0.437546082,15.16108469,6.40E-52,6.76E-51
ENSRNOG00000008871,Sdr16c5,14.88330524,7.343922478,1.087663602,6.752016398,1.46E-11,5.40E-11
ENSRNOG00000008943,Penk,41032.20651,3.741117097,0.070987215,52.70128006,0,0
ENSRNOG00000008965,Socs2,63.56348285,2.810882332,0.24594037,11.42912135,2.99E-30,2.04E-29
ENSRNOG00000009005,Slco2a1,2057.587233,4.61366467,0.100870307,45.73858084,0,0
ENSRNOG00000009033,Cntn2,148.9601217,3.298240906,0.233715884,14.11218118,3.20E-45,2.99E-44
ENSRNOG00000009096,Pon3,2.368965089,2.586513046,1.022028259,2.530764706,0.011381417,0.021489147
ENSRNOG00000009118,Pou2f3,1.712399737,3.940511608,1.527936952,2.578975266,0.009909388,0.018914605
ENSRNOG00000009204,Il17re,570.1589358,4.635691583,0.09674483,47.91668527,0,0
ENSRNOG00000009219,Hepacam,6.508771463,3.080012037,0.697001596,4.418945461,9.92E-06,2.58E-05
ENSRNOG00000009311,Fstl3,920.0675066,2.3527375,0.066153437,35.56485636,4.90E-277,3.58E-275
ENSRNOG00000009528,Sdcbp2,56.22363123,4.171479861,0.258296398,16.14997305,1.14E-58,1.34E-57
ENSRNOG00000009565,Pdk4,93.57260241,3.285551819,0.185196033,17.74094055,2.03E-70,2.80E-69
ENSRNOG00000009589,Angptl7,27.03959032,3.767416968,0.382032794,9.861501501,6.11E-23,3.43E-22
ENSRNOG00000009646,Nyx,23.6240018,3.334679795,0.368216757,9.056295597,1.35E-19,6.83E-19
ENSRNOG00000009736,A4galt,2.179315178,5.128364258,1.458530044,3.516118353,0.000437906,0.000988546
ENSRNOG00000009779,Krt8,46.74924205,3.311013754,0.274800037,12.04881118,1.97E-33,1.46E-32
ENSRNOG00000009802,Fam124a,23.46635826,7.925131482,1.598021065,4.959341059,7.07E-07,2.00E-06
ENSRNOG00000009848,Il18,6.587992266,3.748019727,0.764578464,4.902073368,9.48E-07,2.66E-06
ENSRNOG00000009892,Adamts15,151.9150847,6.106674086,0.245614769,24.86281304,1.88E-136,5.24E-135
ENSRNOG00000009980,Plpp1,6191.125178,2.038690824,0.054368328,37.49776542,1.00E-307,8.61E-306
ENSRNOG00000010047,Ddit4l,76.23212171,3.822047164,0.230419276,16.58735861,8.60E-62,1.05E-60
ENSRNOG00000010107,Palldl1,6292.341964,2.153122,0.110818294,19.42930112,4.36E-84,7.13E-83
ENSRNOG00000010205,Mturn,90.49105916,4.419088116,0.237787677,18.58417632,4.32E-77,6.45E-76
ENSRNOG00000010302,Rasl10b,467.1517596,5.029601687,0.142233563,35.36156724,6.66E-274,4.78E-272
ENSRNOG00000010389,Ndrg2,783.6917055,5.857087239,0.109806115,53.34026482,0,0
