"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NA.158",NA,NA,NA,NA,NA,NA,NA,NA
"NA.159",NA,NA,NA,NA,NA,NA,NA,NA
"NA.160",NA,NA,NA,NA,NA,NA,NA,NA
"NA.161",NA,NA,NA,NA,NA,NA,NA,NA
"NA.162",NA,NA,NA,NA,NA,NA,NA,NA
"NA.163",NA,NA,NA,NA,NA,NA,NA,NA
"NA.164",NA,NA,NA,NA,NA,NA,NA,NA
"NA.165",NA,NA,NA,NA,NA,NA,NA,NA
"NA.166",NA,NA,NA,NA,NA,NA,NA,NA
"15361","ENSRNOG00000042847","LOC687707",2.563915088,-3.649977853,1.468364453,-2.485743811,0.0129281,0.032120271
"NA.167",NA,NA,NA,NA,NA,NA,NA,NA
"15454","ENSRNOG00000043167","Itga9",17.40087637,-2.453654113,0.682210956,-3.596620801,0.000322378,0.001129113
"NA.168",NA,NA,NA,NA,NA,NA,NA,NA
"NA.169",NA,NA,NA,NA,NA,NA,NA,NA
"NA.170",NA,NA,NA,NA,NA,NA,NA,NA
"NA.171",NA,NA,NA,NA,NA,NA,NA,NA
"15659","ENSRNOG00000045683","Mfap4",25.90187292,-2.58903758,0.382974188,-6.760344855,1.38e-11,1.13e-10
"NA.172",NA,NA,NA,NA,NA,NA,NA,NA
"NA.173",NA,NA,NA,NA,NA,NA,NA,NA
"NA.174",NA,NA,NA,NA,NA,NA,NA,NA
"NA.175",NA,NA,NA,NA,NA,NA,NA,NA
"NA.176",NA,NA,NA,NA,NA,NA,NA,NA
"NA.177",NA,NA,NA,NA,NA,NA,NA,NA
"NA.178",NA,NA,NA,NA,NA,NA,NA,NA
"NA.179",NA,NA,NA,NA,NA,NA,NA,NA
"NA.180",NA,NA,NA,NA,NA,NA,NA,NA
"16120","ENSRNOG00000046972","Chrm2",22.5680977,-2.213658509,0.651740781,-3.396532137,0.000682455,0.00224534
"NA.181",NA,NA,NA,NA,NA,NA,NA,NA
"NA.182",NA,NA,NA,NA,NA,NA,NA,NA
"NA.183",NA,NA,NA,NA,NA,NA,NA,NA
"NA.184",NA,NA,NA,NA,NA,NA,NA,NA
"16325","ENSRNOG00000047503","Apoc3",6.233870618,-2.792381445,0.879415967,-3.175268075,0.001496981,0.004606611
"16383","ENSRNOG00000047653","Crybb1",42.23232752,-2.116125133,0.334980542,-6.317158368,2.66e-10,1.95e-09
"NA.185",NA,NA,NA,NA,NA,NA,NA,NA
"16436","ENSRNOG00000047786","unkown",4624.628693,-2.10351858,0.081490631,-25.81301121,6.33e-147,1.62e-144
"NA.186",NA,NA,NA,NA,NA,NA,NA,NA
"NA.187",NA,NA,NA,NA,NA,NA,NA,NA
"16671","ENSRNOG00000048449","Itgb3",641.6771449,-2.43080754,0.130853112,-18.57661235,4.97e-77,3.77e-75
"NA.188",NA,NA,NA,NA,NA,NA,NA,NA
"NA.189",NA,NA,NA,NA,NA,NA,NA,NA
"NA.190",NA,NA,NA,NA,NA,NA,NA,NA
"NA.191",NA,NA,NA,NA,NA,NA,NA,NA
"NA.192",NA,NA,NA,NA,NA,NA,NA,NA
"NA.193",NA,NA,NA,NA,NA,NA,NA,NA
"17110","ENSRNOG00000049733","Ankrd33",5.932333707,-2.056276443,0.858463396,-2.395298918,0.01660682,0.040211633
"17125","ENSRNOG00000049770","Cryba4",179.2586142,-2.312789856,0.207728833,-11.13369688,8.6e-29,1.78e-27
"NA.194",NA,NA,NA,NA,NA,NA,NA,NA
"17211","ENSRNOG00000049995","unkown",2.024291834,-3.723694196,1.534896191,-2.426023478,0.015265283,0.03733588
"NA.195",NA,NA,NA,NA,NA,NA,NA,NA
"NA.196",NA,NA,NA,NA,NA,NA,NA,NA
"NA.197",NA,NA,NA,NA,NA,NA,NA,NA
"NA.198",NA,NA,NA,NA,NA,NA,NA,NA
"NA.199",NA,NA,NA,NA,NA,NA,NA,NA
"NA.200",NA,NA,NA,NA,NA,NA,NA,NA
"NA.201",NA,NA,NA,NA,NA,NA,NA,NA
"NA.202",NA,NA,NA,NA,NA,NA,NA,NA
"NA.203",NA,NA,NA,NA,NA,NA,NA,NA
"NA.204",NA,NA,NA,NA,NA,NA,NA,NA
"NA.205",NA,NA,NA,NA,NA,NA,NA,NA
"NA.206",NA,NA,NA,NA,NA,NA,NA,NA
"NA.207",NA,NA,NA,NA,NA,NA,NA,NA
"NA.208",NA,NA,NA,NA,NA,NA,NA,NA
"NA.209",NA,NA,NA,NA,NA,NA,NA,NA
"NA.210",NA,NA,NA,NA,NA,NA,NA,NA
"NA.211",NA,NA,NA,NA,NA,NA,NA,NA
"NA.212",NA,NA,NA,NA,NA,NA,NA,NA
"NA.213",NA,NA,NA,NA,NA,NA,NA,NA
"NA.214",NA,NA,NA,NA,NA,NA,NA,NA
"NA.215",NA,NA,NA,NA,NA,NA,NA,NA
"NA.216",NA,NA,NA,NA,NA,NA,NA,NA
"NA.217",NA,NA,NA,NA,NA,NA,NA,NA
"NA.218",NA,NA,NA,NA,NA,NA,NA,NA
"NA.219",NA,NA,NA,NA,NA,NA,NA,NA
"NA.220",NA,NA,NA,NA,NA,NA,NA,NA
"NA.221",NA,NA,NA,NA,NA,NA,NA,NA
"NA.222",NA,NA,NA,NA,NA,NA,NA,NA
"NA.223",NA,NA,NA,NA,NA,NA,NA,NA
"NA.224",NA,NA,NA,NA,NA,NA,NA,NA
"NA.225",NA,NA,NA,NA,NA,NA,NA,NA
"18100","ENSRNOG00000052017","Dio3",5.105798385,-2.556279398,0.876468342,-2.916567863,0.003539057,0.010083832
"NA.226",NA,NA,NA,NA,NA,NA,NA,NA
"NA.227",NA,NA,NA,NA,NA,NA,NA,NA
"NA.228",NA,NA,NA,NA,NA,NA,NA,NA
"NA.229",NA,NA,NA,NA,NA,NA,NA,NA
"18299","ENSRNOG00000052424","RGD1306556",538.0159641,-2.19949,0.132159839,-16.64265041,3.42e-62,1.89e-60
"NA.230",NA,NA,NA,NA,NA,NA,NA,NA
"NA.231",NA,NA,NA,NA,NA,NA,NA,NA
"18356","ENSRNOG00000052551","unkown",25.79835819,-2.370998784,0.373993969,-6.339671167,2.3e-10,1.69e-09
"NA.232",NA,NA,NA,NA,NA,NA,NA,NA
"NA.233",NA,NA,NA,NA,NA,NA,NA,NA
"NA.234",NA,NA,NA,NA,NA,NA,NA,NA
"18435","ENSRNOG00000052724","unkown",24.41703298,-2.392463234,0.40266373,-5.941591101,2.82e-09,1.89e-08
"NA.235",NA,NA,NA,NA,NA,NA,NA,NA
"NA.236",NA,NA,NA,NA,NA,NA,NA,NA
"NA.237",NA,NA,NA,NA,NA,NA,NA,NA
"NA.238",NA,NA,NA,NA,NA,NA,NA,NA
"NA.239",NA,NA,NA,NA,NA,NA,NA,NA
"NA.240",NA,NA,NA,NA,NA,NA,NA,NA
"NA.241",NA,NA,NA,NA,NA,NA,NA,NA
"18590","ENSRNOG00000053045","Wscd2",26.21715953,-3.252145647,0.452970732,-7.179593338,6.99e-13,6.37e-12
"18612","ENSRNOG00000053086","Selenop",298.827725,-2.270895749,0.505159642,-4.49540217,6.94e-06,3.15e-05
"NA.242",NA,NA,NA,NA,NA,NA,NA,NA
"NA.243",NA,NA,NA,NA,NA,NA,NA,NA
"18941","ENSRNOG00000053778","unkown",5.821736335,-2.186327608,0.733926581,-2.978945939,0.002892418,0.008395265
"NA.244",NA,NA,NA,NA,NA,NA,NA,NA
"18970","ENSRNOG00000053831","unkown",15.25574635,-2.37141697,0.530510636,-4.470064894,7.82e-06,3.52e-05
"18981","ENSRNOG00000053864","unkown",5.957831857,-2.319919274,0.703229096,-3.298952343,0.000970464,0.003099787
