ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000003841,Kcnh1,9.207832642,2.131154866,0.621375662,3.429736623,0.000604167,0.00135649,
ENSRNOG00000003950,Lvrn,10.41354051,2.187352263,0.514391771,4.252308039,2.12e-05,5.53e-05,
ENSRNOG00000004029,Nectin4,31.25175601,3.678511901,0.338940923,10.85295888,1.93e-27,1.4e-26,
ENSRNOG00000004120,RGD1565844,2.680299262,3.369391398,1.058781703,3.182328698,0.001460959,0.003137074,
ENSRNOG00000004124,Grpr,2.774707671,5.512003421,1.425966349,3.86545126,0.000110884,0.000271267,
ENSRNOG00000004171,Dnah9,7.029246941,2.81549897,0.691554852,4.071259079,4.68e-05,0.000118171,
ENSRNOG00000004200,Sybu,60.85805997,2.407341807,0.198917996,12.10218206,1.03e-33,8.82e-33,
ENSRNOG00000004210,Osr1,2442.757761,2.112641751,0.049200578,42.9393685,0.0,0.0,
ENSRNOG00000004296,Nt5c1b,41.9522652,5.409738371,0.409076935,13.22425664,6.3599999999999996e-40,6.3e-39,
ENSRNOG00000004298,Dpys,7.355902373,4.539934139,0.881936387,5.14768889,2.64e-07,8.07e-07,
ENSRNOG00000004328,Deptor,211.3363159,3.457136991,0.205216311,16.84630707,1.12e-63,1.73e-62,
ENSRNOG00000004399,Dlx4,6.435455094,2.471903984,0.714576865,3.459255549,0.000541671,0.001222956,
ENSRNOG00000004400,Avpr1a,1857.869291,2.08777146,0.045761904,45.62247781,0.0,0.0,
ENSRNOG00000004448,Acss3,142.7633928,6.203374302,0.274089084,22.63269374,2.07e-113,6.29e-112,
ENSRNOG00000004498,Scin,123.8215538,3.948975704,0.202072827,19.5423391,4.79e-85,9.899999999999999e-84,
ENSRNOG00000004516,Itgbl1,1990.232171,3.81650731,0.062794719,60.77752064,0.0,0.0,
ENSRNOG00000004527,Lin7a,64.69687745,2.466502704,0.409546818,6.022517077,1.72e-09,6.08e-09,
ENSRNOG00000004540,Clec3b,44.47823761,6.699123577,0.579151543,11.56713412,6.05e-31,4.81e-30,
ENSRNOG00000004589,Galnt16,2223.118443,3.350706069,0.058839115,56.94691448,0.0,0.0,
ENSRNOG00000004610,Lum,7.4094046,6.534630638,1.27542049,5.123510785,3e-07,9.14e-07,
ENSRNOG00000004686,Spop,3473.927251,2.066530094,0.04820427,42.87027092,0.0,0.0,
ENSRNOG00000004699,Fibin,345.1990248,4.347830295,0.127732163,34.03864933,5.98e-254,5.550000000000001e-252,
ENSRNOG00000004744,Lratd2,10.16207213,3.216453448,0.614014039,5.238403754,1.62e-07,5.04e-07,
ENSRNOG00000004752,Nalcn,137.7217943,2.098959533,0.141112042,14.87441825,4.83e-50,5.89e-49,
ENSRNOG00000004786,Cyp4f1,6.765015964,2.164146908,0.781371255,2.76967817,0.005611171,0.011091008,
ENSRNOG00000004956,Jade2,318.1890725,2.537462628,0.147781654,17.17034939,4.4300000000000004e-66,7.11e-65,
ENSRNOG00000005008,Angpt4,85.56259955,3.691603855,0.212455809,17.3758669,1.26e-67,2.07e-66,
ENSRNOG00000005094,C1qtnf7,460.7191214,3.85610297,0.098195285,39.26973654,0.0,0.0,
ENSRNOG00000005185,Nxph3,97.21156796,2.995919092,0.198893376,15.06294052,2.84e-51,3.54e-50,
ENSRNOG00000005190,Nipal2,48.03407747,2.128522323,0.225643826,9.43310685,3.9800000000000006e-21,2.4e-20,
ENSRNOG00000005195,Cst3,5491.490314,2.413869237,0.075592329,31.93272758,9.39e-224,7.21e-222,
ENSRNOG00000005228,Gnptab,3333.556313,2.308989285,0.070768635,32.62729737,1.68e-233,1.39e-231,
ENSRNOG00000005264,Sav1,3674.761568,2.143129931,0.05123288,41.8311431,0.0,0.0,
ENSRNOG00000005271,Rapgef5,41.66498602,7.69750183,0.752533584,10.2287818,1.4699999999999999e-24,9.849999999999999e-24,
ENSRNOG00000005284,Itpka,11.89962427,3.555297921,0.523305611,6.793922805,1.09e-11,4.37e-11,
ENSRNOG00000005580,Itgb4,75.71203065,2.065605226,0.228971362,9.02123834,1.86e-19,1.05e-18,
ENSRNOG00000005620,Lcp2,4.506168934,2.184442891,0.71343514,3.061866129,0.002199618,0.004618615,
ENSRNOG00000005695,Mgp,8655.723155,2.166138885,0.082409954,26.28491816,2.8499999999999998e-152,1.26e-150,
ENSRNOG00000005854,Angpt1,289.5632828,4.176294281,0.138036876,30.25491734,4.5e-201,3e-199,
ENSRNOG00000005861,Hsd11b1,3085.804406,4.532748663,0.056636603,80.03214209,0.0,0.0,
ENSRNOG00000005871,Il1rn,25.26133449,2.724520468,0.334774302,8.138379964,4.01e-16,2e-15,
ENSRNOG00000006052,Sulf2,3848.437327,4.804801038,0.068395276,70.25048097,0.0,0.0,
ENSRNOG00000006060,Matn2,172.4292959,3.895917027,0.148023411,26.31960047,1.14e-152,5.06e-151,
ENSRNOG00000006076,Steap2,3029.211067,2.753943111,0.044186222,62.32583283,0.0,0.0,
ENSRNOG00000006079,Psd4,29.17334673,4.133895205,0.376804049,10.97094158,5.27e-28,3.8700000000000004e-27,
ENSRNOG00000006122,Igf2bp1,13.32576308,3.357333451,0.483535501,6.943302903,3.83e-12,1.57e-11,
ENSRNOG00000006167,Rasal3,5.846261726,2.024982605,0.717683259,2.821554747,0.004779148,0.009549382,
ENSRNOG00000006231,Ptpro,13.44909769,6.889274481,1.089100315,6.325656494,2.52e-10,9.34e-10,
ENSRNOG00000006280,Pcsk9,40.375466,2.692784982,0.28230124,9.53869344,1.4500000000000002e-21,8.8e-21,
ENSRNOG00000006334,Txndc16,244.3399598,2.075420739,0.107942319,19.22712767,2.1899999999999997e-82,4.389999999999999e-81,
ENSRNOG00000006498,Lrrc69,1.903608475,3.236557739,1.37377639,2.355956735,0.018475069,0.033557699,
ENSRNOG00000006509,Srgap3,861.6247806,2.243036808,0.181937451,12.32861513,6.350000000000001e-35,5.6199999999999996e-34,
ENSRNOG00000006591,unkown,2.268496075,6.371131359,2.204481637,2.890081392,0.003851421,0.007808754,
ENSRNOG00000006653,Slc38a4,199.7720266,4.336948398,0.150639412,28.79026378,2.84e-182,1.6099999999999998e-180,
ENSRNOG00000006761,Sh3gl2,8.248166662,3.445281613,0.629894794,5.469614359,4.51e-08,1.46e-07,
ENSRNOG00000006783,Neb,250.9022608,2.059016348,0.23486363,8.766859078,1.84e-18,1e-17,
ENSRNOG00000007003,Mei1,46.76283759,4.459486426,0.333362924,13.37727176,8.21e-41,8.329999999999999e-40,
ENSRNOG00000007057,Csmd2,11.75956704,7.274249311,1.231832742,5.905224841,3.52e-09,1.22e-08,
ENSRNOG00000007081,Xdh,5095.96729,5.927198471,0.064405847,92.0288876,0.0,0.0,
ENSRNOG00000007178,Cd8a,9.630048747,3.135251152,0.576188588,5.441362801,5.29e-08,1.71e-07,
ENSRNOG00000007202,Sema3d,1184.788707,3.554121939,0.116589548,30.4840529,4.24e-204,2.8600000000000002e-202,
ENSRNOG00000007387,Per1,891.669066,2.194479977,0.084898877,25.8481626,2.55e-147,1.08e-145,
ENSRNOG00000007433,Cyb561,13.74140497,3.131787743,0.461803736,6.781642289,1.19e-11,4.75e-11,
ENSRNOG00000007457,Serping1,144.5287323,4.669476598,0.214313398,21.78807597,3.01e-105,8.27e-104,
ENSRNOG00000007484,Ehf,2.38697817,5.423338537,1.693899689,3.201688136,0.001366248,0.002943074,
ENSRNOG00000007551,Patj,620.4686074,2.139550946,0.097682995,21.90300325,2.43e-106,6.76e-105,
ENSRNOG00000007637,Acer2,12.48866902,4.514016627,0.589520738,7.657095564,1.9e-14,8.72e-14,
ENSRNOG00000007743,Mgst1,21.10328376,3.749552882,0.430919841,8.701276961,3.28e-18,1.78e-17,
ENSRNOG00000007799,Fam151a,144.8866156,2.234006493,0.151024296,14.79236485,1.64e-49,1.9799999999999997e-48,
ENSRNOG00000007837,Acot11,129.5700237,2.054480478,0.143090226,14.35793716,9.500000000000001e-47,1.08e-45,
ENSRNOG00000007886,Orm1,21.01030571,9.58274624,1.214905987,7.887644264,3.08e-15,1.47e-14,
ENSRNOG00000007896,Klhl38,13.3960034,3.257460989,0.483284578,6.740254376,1.58e-11,6.26e-11,
ENSRNOG00000007918,Tbxas1,3.443500843,3.963507568,1.036420245,3.824228237,0.000131182,0.000318274,
ENSRNOG00000007923,Cgref1,1201.273678,2.458234662,0.056499034,43.50932195,0.0,0.0,
ENSRNOG00000007946,Bcl2l1,2469.93617,2.254654933,0.056852874,39.65771255,0.0,0.0,
ENSRNOG00000007947,Fam13a,58.02042666,2.553582047,0.220511405,11.58027201,5.1900000000000005e-31,4.14e-30,
ENSRNOG00000007955,Timp4,6.599653005,3.318573857,0.801205448,4.141976149,3.44e-05,8.82e-05,
ENSRNOG00000007989,Chst1,54.53321832,2.871659193,0.265541923,10.81433457,2.9400000000000004e-27,2.12e-26,
ENSRNOG00000007999,Abra,4.763644513,2.30996133,0.863925005,2.67379844,0.007499751,0.014528026,
ENSRNOG00000008057,Krt7,300.7908003,4.740893291,0.131511513,36.04926436,1.42e-284,1.4699999999999998e-282,
ENSRNOG00000008116,Plpp3,237.2528588,2.403051468,0.131067903,18.3344008,4.4e-75,7.899999999999999e-74,
ENSRNOG00000008146,Tox2,1.148122355,4.235886253,1.768027402,2.395826132,0.016582954,0.030349021,
ENSRNOG00000008157,Syn2,1.901551948,5.599902542,1.78731679,3.133133743,0.001729506,0.003681164,
ENSRNOG00000008373,Colec11,8.13567723,5.674643612,0.970774125,5.845482968,5.05e-09,1.74e-08,
ENSRNOG00000008591,Colec10,1.953331261,4.757653871,1.483926216,3.206125627,0.001345352,0.002900463,
ENSRNOG00000008697,Ccn3,4085.93693,6.43678625,0.068058423,94.57736403,0.0,0.0,
ENSRNOG00000008829,Sorbs3,1122.042593,2.26577024,0.065498609,34.59264682,3.26e-262,3.11e-260,
ENSRNOG00000008837,Ass1,13.4304739,2.854761178,0.452553349,6.308120772,2.82e-10,1.04e-09,
ENSRNOG00000008855,Gjb2,61.77541276,8.189296319,0.742978712,11.02224893,2.99e-28,2.2000000000000002e-27,
ENSRNOG00000008871,Sdr16c5,14.88330524,8.088067205,1.235784874,6.54488283,5.95e-11,2.29e-10,
ENSRNOG00000008943,Penk,41032.20651,4.437562069,0.071196625,62.32826466,0.0,0.0,
ENSRNOG00000008965,Socs2,63.56348285,2.155820966,0.231304087,9.320289108,1.16e-20,6.87e-20,
ENSRNOG00000009005,Slco2a1,2057.587233,3.588705679,0.097100468,36.95868562,5.279999999999999e-299,6.0499999999999996e-297,
ENSRNOG00000009033,Cntn2,148.9601217,2.180100916,0.220237811,9.898849356,4.2099999999999996e-23,2.69e-22,
ENSRNOG00000009096,Pon3,2.368965089,2.754659204,1.070372718,2.573551396,0.010066069,0.019138984,
ENSRNOG00000009118,Pou2f3,1.712399737,3.794105298,1.527936952,2.483155665,0.013022417,0.02426596,
ENSRNOG00000009204,Il17re,570.1589358,4.980456277,0.106758132,46.65177429,0.0,0.0,
ENSRNOG00000009343,Evpl,295.4487393,2.341575632,0.123243876,18.99952924,1.72e-80,3.36e-79,
ENSRNOG00000009528,Sdcbp2,56.22363123,3.458604934,0.231820934,14.91929517,2.47e-50,3.03e-49,
ENSRNOG00000009565,Pdk4,93.57260241,2.653712998,0.174580584,15.20050476,3.51e-52,4.45e-51,
ENSRNOG00000009589,Angptl7,27.03959032,3.542341144,0.377774104,9.376876578,6.8e-21,4.05e-20,
ENSRNOG00000009646,Nyx,23.6240018,2.543008396,0.328190711,7.748569089,9.29e-15,4.33e-14,
ENSRNOG00000009736,A4galt,2.179315178,2.498900908,1.042166296,2.397794783,0.016494103,0.030206568,
ENSRNOG00000009779,Krt8,46.74924205,2.499955901,0.249515014,10.01926041,1.2499999999999999e-23,8.159999999999999e-23,
ENSRNOG00000009797,Aqp3,5.966395406,2.279892079,0.664092762,3.4330928,0.000596738,0.001341132,
ENSRNOG00000009802,Fam124a,23.46635826,6.804203376,1.434479547,4.743325473,2.1e-06,5.99e-06,
ENSRNOG00000009848,Il18,6.587992266,3.589673957,0.763215326,4.703356754,2.56e-06,7.24e-06,
ENSRNOG00000009892,Adamts15,151.9150847,5.440212247,0.214569763,25.35404881,8.11e-142,3.2699999999999996e-140,
ENSRNOG00000009982,Pnp,4205.471493,2.204842654,0.057323409,38.46321616,0.0,0.0,
ENSRNOG00000010047,Ddit4l,76.23212171,4.825264523,0.279146175,17.28579848,6.02e-67,9.790000000000001e-66,
ENSRNOG00000010205,Mturn,90.49105916,4.117989249,0.231611395,17.77973507,1.0100000000000001e-70,1.7299999999999998e-69,
ENSRNOG00000010302,Rasl10b,467.1517596,3.990555574,0.126232099,31.61284348,2.4599999999999998e-219,1.8000000000000001e-217,
ENSRNOG00000010389,Ndrg2,783.6917055,5.113376817,0.096677944,52.89083109,0.0,0.0,
ENSRNOG00000010478,LOC299282,265.0003183,12.27521529,1.181873596,10.38623363,2.86e-25,1.95e-24,
ENSRNOG00000010517,Fam126a,1544.632734,2.713955512,0.141307557,19.20601821,3.2999999999999996e-82,6.58e-81,
ENSRNOG00000010535,Cdh18,189.0156165,2.597695711,0.131656331,19.73088339,1.1700000000000001e-86,2.47e-85,
ENSRNOG00000010549,Tspo,5019.244862,2.239596913,0.096692573,23.16203658,1.1e-118,3.54e-117,
