ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000016623,,935.8951267,3.711671595,0.070720989,52.48331015,0.0,0.0,Tmeff2
ENSRNOG00000016625,,9.834924702,2.769389622,0.557245674,4.969782179,6.7e-07,1.9e-06,Slc22a2
ENSRNOG00000016628,,4.634953187,2.864220911,0.803789975,3.563394669,0.00036609,0.000833484,Scgn
ENSRNOG00000017072,,840.9260066,2.318591844,0.087323822,26.55165327,2.46e-155,8.05e-154,Slc16a14
ENSRNOG00000017073,,474.9929612,2.752029886,0.095254613,28.89130314,1.54e-183,6.27e-182,Ca9
ENSRNOG00000017198,,54.16937607,9.233329202,1.036922596,8.9045501,5.36e-19,2.66e-18,Hif3a
ENSRNOG00000017477,,232.0742826,2.783652274,0.115707971,24.05756709,6.96e-128,1.77e-126,Mmp23
ENSRNOG00000017525,,43.89625478,2.701428005,0.255586941,10.56950717,4.13e-26,2.55e-25,Epha1
ENSRNOG00000017625,,23.6195311,5.465983937,0.640297999,8.536625043,1.38e-17,6.54e-17,Htr2b
ENSRNOG00000017684,,180.4963258,2.386777701,0.149665452,15.94741922,2.9700000000000003e-57,3.43e-56,Fbxl22
ENSRNOG00000017693,,38.55557264,3.257446305,0.318838077,10.21661633,1.67e-24,9.81e-24,Slc2a5
ENSRNOG00000017783,,7.384993567,4.136250527,0.701608479,5.895382758,3.74e-09,1.22e-08,Sfrp1
ENSRNOG00000017808,,436.9247914,7.51396616,0.219130629,34.28989461,1.1100000000000001e-257,7.35e-256,Klf15
ENSRNOG00000018233,,16861.36549,3.617513683,0.03512928,102.9771653,0.0,0.0,Gas6
ENSRNOG00000018338,,589.877958,2.199214647,0.076081393,28.90607771,1e-183,4.1e-182,Vwa1
ENSRNOG00000018494,,512.1346245,2.932076767,0.095628001,30.66127837,1.87e-206,9.16e-205,Ppp1r3c
ENSRNOG00000018706,,15.5514562,7.422415816,1.080195575,6.871362918,6.36e-12,2.4e-11,Il15ra
ENSRNOG00000018740,,1008.103448,3.289189225,0.073030008,45.03887255,0.0,0.0,Ugt1a3
ENSRNOG00000018854,,7.423028881,7.248348515,1.306310826,5.548716562,2.88e-08,8.93e-08,Nppc
ENSRNOG00000018859,,354.9020381,2.560848228,0.099922905,25.62824029,7.39e-145,2.2e-143,Pik3ip1
ENSRNOG00000018937,,2709.026923,2.521270741,0.065721442,38.36298587,0.0,0.0,Gstm7
ENSRNOG00000018940,,10.54270593,4.838856884,0.696375317,6.948633544,3.69e-12,1.41e-11,Slc28a1
ENSRNOG00000019305,,81.08758975,2.500130557,0.232903973,10.73459814,7e-27,4.4e-26,Sh3tc2
ENSRNOG00000019342,,256.303493,7.343987299,0.270473025,27.15238352,2.37e-162,8.29e-161,Sult1a1
ENSRNOG00000019721,,994.4404762,2.386243994,0.070234351,33.97545442,5.13e-253,3.2600000000000002e-251,Ypel3
ENSRNOG00000019902,,25.03389622,2.147093854,0.32480524,6.610403987,3.83e-11,1.39e-10,Folr1
ENSRNOG00000019926,,1458.471194,3.347220166,0.091449633,36.6017891,2.68e-293,2.2e-291,Ramp1
ENSRNOG00000020025,,679.3460624,2.301733924,0.085926308,26.78730169,4.54e-158,1.54e-156,Slc29a2
ENSRNOG00000020030,,2338.419599,3.094650861,0.073280017,42.23048773,0.0,0.0,Crlf1
ENSRNOG00000020197,,4642.639197,2.124025244,0.054808789,38.75336916,0.0,0.0,Cd248
ENSRNOG00000020246,,8291.225745,2.562490861,0.052560373,48.75328496,0.0,0.0,Myl9
ENSRNOG00000020305,,36.64920339,8.076231033,0.868604811,9.297934954,1.43e-20,7.47e-20,unkown
ENSRNOG00000020434,,7.899197779,3.588999957,0.699985873,5.127246268,2.94e-07,8.57e-07,Ascl2
ENSRNOG00000020456,,6744.189656,2.241352552,0.029029887,77.20844889,0.0,0.0,Nucb2
ENSRNOG00000020562,,255.2632969,2.644056724,0.118891839,22.23917759,1.44e-109,3.08e-108,Slc22a18
ENSRNOG00000020579,,203.0234585,4.581458443,0.159461942,28.73073276,1.58e-181,6.339999999999999e-180,Col7a1
ENSRNOG00000020585,,421.7318142,3.175529091,0.113633356,27.94539552,7.5e-172,2.8e-170,Tbxa2r
ENSRNOG00000020904,,286.9824581,3.124301374,0.116535105,26.80995879,2.47e-158,8.39e-157,Cdc42ep2
ENSRNOG00000020948,,27.5472477,2.19335935,0.393748708,5.570454725,2.54e-08,7.92e-08,Pth1r
ENSRNOG00000020989,,251.8732426,2.250608506,0.107767044,20.88401456,7.480000000000002e-97,1.4e-95,Tm7sf2
ENSRNOG00000021086,,103.1745594,4.648145959,0.229412186,20.26111187,2.83e-91,5e-90,Dtx4
ENSRNOG00000021098,,45.82242362,4.629031945,0.320161589,14.45842382,2.22e-47,2.16e-46,Rasgrp2
ENSRNOG00000021198,,2.848170505,2.172040957,0.975355898,2.226921436,0.025952525,0.046324289,unkown
ENSRNOG00000021261,,247.432058,5.806863451,0.197224321,29.44293797,1.55e-190,6.789999999999999e-189,Rassf2
ENSRNOG00000021318,,3312.115073,10.77045927,0.228822486,47.06905981,0.0,0.0,Epas1
ENSRNOG00000021355,,14.69521368,2.316411899,0.452645855,5.117492786,3.1e-07,9.01e-07,Ca6
ENSRNOG00000021468,,1.670062419,3.7395975,1.567998564,2.384949569,0.017081463,0.031443237,Grm8
ENSRNOG00000021589,,32.90905526,3.65554976,0.345633539,10.57637454,3.84e-26,2.37e-25,Nexmif
ENSRNOG00000021657,,7.839157229,5.205288161,0.944515733,5.511065597,3.57e-08,1.1e-07,Pld6
ENSRNOG00000021719,,1333.963612,2.947197383,0.087039653,33.86039897,2.55e-251,1.5999999999999996e-249,Slfn5
ENSRNOG00000021919,,3706.352936,2.625428438,0.043826323,59.90528721,0.0,0.0,Rhoj
ENSRNOG00000021924,,13.26714759,8.077815798,1.254306058,6.440067596,1.19e-10,4.25e-10,Cyp2c22
