ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene names
ENSRNOG00000013970,,654.7866508,2.155560694,0.102885379,20.95108861,1.83e-97,7.35e-96,Cdt1
ENSRNOG00000014061,,1139.879077,2.344330648,0.076285069,30.73118601,2.18e-207,3.12e-205,Dusp5
ENSRNOG00000014080,,1813.528259,2.103659144,0.057992997,36.27436484,4.1e-288,1.0899999999999998e-285,Kif23
ENSRNOG00000014082,,201.7112205,2.679575071,0.155281316,17.25626195,1e-66,2.61e-65,Sp7
ENSRNOG00000014102,,2.620130787,4.261269865,1.465296667,2.908127726,0.003635998,0.008382646,Wdr38
ENSRNOG00000014124,,2.425077497,4.565450665,1.384993433,3.2963699,0.00097943,0.002463013,Nod2
ENSRNOG00000014125,,9.429995546,2.647352643,0.586835013,4.511238399,6.45e-06,2.11e-05,Evi2b
ENSRNOG00000014130,,782.3839731,2.343560874,0.12363046,18.95617691,3.9300000000000005e-80,1.26e-78,unkown
ENSRNOG00000014336,,2167.416618,2.104739933,0.055744037,37.7572209,0.0,0.0,Mcm5
ENSRNOG00000014357,,98.16551093,3.762772903,0.218735944,17.20235293,2.55e-66,6.55e-65,Gja4
ENSRNOG00000014372,,104.054064,3.276368228,0.214396255,15.28183517,1.01e-52,2.05e-51,Gjb3
ENSRNOG00000014909,,2.892178226,4.415368867,1.377981996,3.20422827,0.001354251,0.003333451,Sh2d5
ENSRNOG00000014960,,455.3924334,2.28043581,0.120667706,18.89847656,1.17e-79,3.74e-78,Bard1
ENSRNOG00000015232,,13.95473814,2.213139662,0.484256174,4.570183679,4.87e-06,1.62e-05,Pip5k1b
ENSRNOG00000015275,,345.4392207,2.968692741,0.122116756,24.31028168,1.53e-130,9.75e-129,Ska1
ENSRNOG00000015308,,513.5267325,3.040695325,0.112458451,27.03838882,5.23e-161,4.82e-159,Pbk
ENSRNOG00000015465,,258.8723856,2.070367094,0.126736966,16.33593708,5.479999999999999e-60,1.27e-58,Cep72
ENSRNOG00000015677,,67.67386547,6.328365064,0.449532087,14.07767152,5.21e-45,8.83e-44,Cda
ENSRNOG00000015794,,435.2533302,2.466880113,0.109467475,22.53527924,1.87e-112,9.32e-111,Fam83d
ENSRNOG00000015810,,515.2369,2.280873913,0.088083525,25.89444419,7.69e-148,6.05e-146,Trip13
ENSRNOG00000015878,,76.63975363,2.620780975,0.245796398,10.66240596,1.53e-26,1.58e-25,Pif1
ENSRNOG00000016075,,1.840604462,4.210574095,1.868790909,2.253100695,0.024252801,0.047202449,Dmrt1
ENSRNOG00000016148,,1002.674462,2.3501915,0.076144059,30.86506727,3.520000000000001e-209,5.2e-207,Gtse1
ENSRNOG00000016362,,5.249897677,3.376383385,0.941333273,3.586809776,0.000334748,0.000899695,Gpr4
ENSRNOG00000016561,,622.2061839,2.965697778,0.120740289,24.56261952,3.17e-133,2.1e-131,Pclaf
ENSRNOG00000016616,,4.247735676,6.912243651,1.345998135,5.135403585,2.82e-07,1.05e-06,Prl7a3
ENSRNOG00000016653,,82.03625674,2.77468732,0.21619176,12.83438053,1.05e-37,1.51e-36,Ngef
ENSRNOG00000016656,,28.326865,2.343501052,0.367744782,6.372628976,1.86e-10,8.97e-10,Nkx2-3
ENSRNOG00000016962,,10.39930023,5.25914606,0.851841778,6.173853172,6.66e-10,3.09e-09,Neu2
ENSRNOG00000017108,,5.894385378,2.307308765,0.783294703,2.945645817,0.003222812,0.007493925,Syngr1
ENSRNOG00000017117,,11.37614196,2.367378101,0.481980747,4.911769021,9.03e-07,3.22e-06,Ybx2
ENSRNOG00000017210,,10.75366668,2.61965533,0.626988256,4.178156938,2.94e-05,8.99e-05,Slc22a23
ENSRNOG00000017259,,1112.386129,2.557658581,0.075305453,33.96378965,7.63e-253,1.54e-250,Tacc3
ENSRNOG00000017283,,19.12702356,3.011898521,0.452276332,6.659421033,2.75e-11,1.41e-10,Kcnt1
ENSRNOG00000017459,,27.02859819,2.32129221,0.473572827,4.901658369,9.5e-07,3.38e-06,C1ql3
ENSRNOG00000017899,,22.42692395,2.359811677,0.432580612,5.455195199,4.89e-08,1.95e-07,Akr7a3
ENSRNOG00000017981,,574.2697366,2.078459726,0.100465558,20.68828136,4.42e-95,1.71e-93,Mcm10
ENSRNOG00000018113,,1365.609678,2.023798635,0.069742197,29.01828057,3.87e-185,4.62e-183,unkown
ENSRNOG00000018236,,6.22915798,4.811129181,1.019340996,4.719842721,2.36e-06,8.08e-06,Cym
ENSRNOG00000018330,,7.455136186,2.356718703,0.633218781,3.721807965,0.000197801,0.00054866,Fam83f
ENSRNOG00000018336,,21.02603389,3.540201796,0.506094063,6.995145869,2.65e-12,1.45e-11,Eps8l2
ENSRNOG00000018615,,399.9109484,2.460612469,0.111484751,22.07129178,5.97e-108,2.75e-106,Cenph
ENSRNOG00000018748,,96.15783323,2.677091184,0.198353001,13.49660034,1.64e-41,2.57e-40,Slc16a11
ENSRNOG00000018782,,584.317153,2.430904015,0.131498922,18.48611369,2.6699999999999998e-76,8.099999999999999e-75,Gmnn
ENSRNOG00000018874,,266.0883613,2.741103614,0.11005095,24.90758709,6.16e-137,4.32e-135,Phf19
ENSRNOG00000018954,,3.689769183,3.476036397,1.23478994,2.815083185,0.004876461,0.010962223,Tsnaxip1
ENSRNOG00000019068,,23.21150605,2.361262943,0.436727193,5.406722967,6.42e-08,2.53e-07,Ctrb1
ENSRNOG00000019100,,659.8714371,2.963511199,0.10451731,28.35426207,7.42e-177,8.18e-175,Kif2c
ENSRNOG00000019174,,493.6629906,2.019660762,0.085426092,23.64220004,1.42e-123,8.51e-122,Chtf18
ENSRNOG00000019203,,20.77798165,2.368316513,0.524752174,4.513209527,6.39e-06,2.09e-05,Eya2
ENSRNOG00000019584,,33.36046723,3.601047925,0.351725063,10.23824659,1.3399999999999999e-24,1.29e-23,Dlk1
ENSRNOG00000019890,,4.193241844,2.281271776,0.739135407,3.086405759,0.002025922,0.00485963,Folr2
ENSRNOG00000020013,,56.12244314,2.872162456,0.288713237,9.948149543,2.57e-23,2.36e-22,Psrc1
ENSRNOG00000020045,,2.520978425,3.359018951,1.364718118,2.461328026,0.013842374,0.028426861,Drgx
ENSRNOG00000020164,,148.7978399,2.462667944,0.161956877,15.20570159,3.24e-52,6.5e-51,Ifitm10
ENSRNOG00000020281,,1392.948327,2.686675358,0.086718511,30.98156714,9.55e-211,1.44e-208,Kif22
ENSRNOG00000020295,,129.4596647,2.598861663,0.149100782,17.43023501,4.86e-68,1.28e-66,Plekhn1
ENSRNOG00000020455,,34.11906581,2.152718334,0.286376531,7.517090616,5.6e-14,3.39e-13,Cst6
ENSRNOG00000020552,,1821.692171,2.387809369,0.071267872,33.50470983,4.12e-246,8.099999999999999e-244,Fosl1
ENSRNOG00000020638,,3.567582362,2.369515623,0.956980154,2.476034235,0.013285084,0.027379829,Hmx2
ENSRNOG00000020865,,81.85672628,3.760269734,0.232105278,16.20070755,4.99e-59,1.14e-57,Ano1
ENSRNOG00000021276,,332.3298387,2.524796182,0.109296216,23.10049036,4.58e-118,2.4999999999999998e-116,unkown
ENSRNOG00000021380,,2.218670005,3.823165077,1.686191264,2.267337733,0.023369602,0.045663163,Fads6
ENSRNOG00000021381,,2.827688611,5.230895156,1.398801847,3.739554082,0.000184347,0.000513809,Ccdc68
ENSRNOG00000021412,,1243.909406,2.040332653,0.071160995,28.67206486,8.51e-181,9.89e-179,Slfn13
ENSRNOG00000021713,,572.6744775,2.846361721,0.108903662,26.1365107,1.4e-150,1.16e-148,Kif18b
ENSRNOG00000021752,,243.6406897,4.260644809,0.184541875,23.08768565,6.16e-118,3.34e-116,Foxq1
ENSRNOG00000021847,,497.754142,2.544930775,0.103724683,24.53544025,6.1900000000000006e-133,4.07e-131,Ska3
ENSRNOG00000022030,,106.071389,2.188276713,0.16718576,13.08889414,3.81e-39,5.66e-38,Aunip
ENSRNOG00000022261,,354.3269693,2.424343794,0.104733301,23.14778373,1.53e-118,8.41e-117,Cenpu
ENSRNOG00000022426,,4.641400171,2.583284806,0.889710279,2.903512375,0.003690024,0.008491371,LOC102546864
ENSRNOG00000022499,,288.8672532,2.447739823,0.108837079,22.48994412,5.21e-112,2.5400000000000006e-110,Sgo1
ENSRNOG00000022521,,255.8939109,2.064054153,0.128502976,16.06230624,4.69e-58,1.05e-56,Ddias
ENSRNOG00000022537,,271.2156753,2.520965025,0.138381327,18.21752308,3.75e-74,1.1e-72,E2f8
ENSRNOG00000022637,,3.434558444,2.376282249,1.014206057,2.342997492,0.019129512,0.037986967,unkown
ENSRNOG00000023093,,244.2565328,2.300964338,0.127601873,18.03237125,1.09e-72,3.14e-71,Mis18bp1
ENSRNOG00000023227,,17.76913238,2.738545638,0.472776268,5.792476956,6.94e-09,2.97e-08,unkown
ENSRNOG00000023318,,14.41294466,2.897375001,0.558749896,5.185459575,2.15e-07,8.13e-07,Tigd3
ENSRNOG00000023633,,11.4349272,2.206348554,0.592626783,3.722998383,0.000196871,0.000546327,Crabp1
ENSRNOG00000023659,,8.288332489,2.048437049,0.705425981,2.90382989,0.003686284,0.00848502,Raet1l
ENSRNOG00000024310,,138.2741734,3.908958458,0.211330185,18.4969244,2.19e-76,6.64e-75,Kcnf1
ENSRNOG00000024620,,102.9822823,2.113462559,0.167943411,12.58437316,2.57e-36,3.5600000000000003e-35,Mamdc2
ENSRNOG00000024917,,21.93155713,5.049082091,0.566119219,8.918761136,4.72e-19,3.65e-18,Flacc1
ENSRNOG00000024931,,609.9052409,2.756258888,0.148864009,18.51528058,1.55e-76,4.74e-75,Ccdc88b
ENSRNOG00000024969,,2.032725998,5.826993842,1.710530122,3.406542666,0.000657913,0.001701434,unkown
ENSRNOG00000025198,,1158.326022,2.929379674,0.077525394,37.78606621,0.0,0.0,unkown
ENSRNOG00000025377,,3.196476851,4.448072505,1.424342764,3.122894725,0.001790818,0.004334716,Ankdd1b
ENSRNOG00000025883,,6.749376312,3.125388314,0.845945367,3.694551015,0.000220276,0.000607398,Ip6k3
ENSRNOG00000025980,,91.97089289,2.122764771,0.205056589,10.35209247,4.09e-25,4.0399999999999996e-24,unkown
ENSRNOG00000026143,,427.3426501,2.348381468,0.089853959,26.13553694,1.44e-150,1.18e-148,Ckap2l
ENSRNOG00000026462,,62.32522279,2.270807399,0.251172527,9.040827141,1.55e-19,1.23e-18,RGD1559962
ENSRNOG00000027035,,174.917449,2.513285231,0.161589731,15.55349601,1.5099999999999998e-54,3.15e-53,Sgo2
ENSRNOG00000027060,,2.237317946,3.360203688,1.416374006,2.372398584,0.017673014,0.035415575,Galr3
ENSRNOG00000027798,,10.56166418,2.044556492,0.564777419,3.620110193,0.000294478,0.000798025,unkown
ENSRNOG00000027894,,1264.73375,2.495217624,0.091560722,27.25205273,1.57e-163,1.5e-161,Iqgap3
ENSRNOG00000028016,,2.981429178,3.525273953,1.181982296,2.982509944,0.002858954,0.006704206,Ncf2
ENSRNOG00000028137,,6601.06477,2.623738328,0.167149867,15.69692139,1.59e-55,3.3899999999999995e-54,Mki67
ENSRNOG00000028279,,24.31041582,2.886524335,0.396947962,7.271795323,3.55e-13,2.05e-12,unkown
ENSRNOG00000028415,,1662.992308,2.806573762,0.067739708,41.43173702,0.0,0.0,Cdc20
ENSRNOG00000028636,,197.6079387,2.714617319,0.164512584,16.50097065,3.61e-61,8.52e-60,Xkr5
ENSRNOG00000028668,,478.3941597,2.302171489,0.160315519,14.36025344,9.19e-47,1.63e-45,Slc28a2
ENSRNOG00000028841,,34.63976108,2.741207183,0.714022777,3.839103276,0.000123484,0.000352749,Mt1m
ENSRNOG00000028844,,109.5243517,2.003762938,0.167161609,11.98698041,4.16e-33,5.28e-32,Slc9a5
ENSRNOG00000029055,,730.0656207,2.903535508,0.088659671,32.74922494,3.11e-235,5.68e-233,Ttk
ENSRNOG00000029091,,5.488245702,2.640248144,0.812666949,3.248868613,0.00115865,0.002881894,unkown
ENSRNOG00000029107,,63.41757148,2.155988317,0.252254888,8.546864385,1.26e-17,9.24e-17,RGD1561694
